Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/CAD,0.9453,0.0004,0.000039,0.000039,0.0001,0.000075,0,100,1,0.000075,AUD_CAD
AUD/CHF,0.7064,0.0005,0.000039,0.000039,0.0001,0.0001,0,100,1,0.0001,AUD_CHF
AUD/HKD,5.552,0.0025,0.000039,0.000039,0.0001,0.000013,0,50,1,0.000013,AUD_HKD
AUD/JPY,78.77,0.04,0.000039,0.000039,0.01,0.00009,0,100,1,0.00009,AUD_JPY
AUD/NZD,1.0464,0.0004,0.000039,0.000039,0.0001,0.000068,0,100,1,0.000068,AUD_NZD
AUD/SGD,0.9587,0.0005,0.000039,0.000039,0.0001,0.000074,0,50,1,0.000074,AUD_SGD
AUD/USD,0.7073,0.0003,0.000039,0.000039,0.0001,0.0001,0,100,1,0.0001,AUD_USD
CAD/CHF,0.7494,0.0005,0.000041,0.000041,0.0001,0.0001,0,100,1,0.0001,CAD_CHF
CAD/HKD,5.889,0.002,0.000041,0.000041,0.0001,0.000013,0,50,1,0.000013,CAD_HKD
CAD/JPY,83.56,0.04,0.000041,0.000041,0.01,0.00009,0,100,1,0.00009,CAD_JPY
CAD/SGD,1.0168,0.0005,0.000041,0.000041,0.0001,0.000074,0,50,1,0.000074,CAD_SGD
CHF/HKD,7.8568,0.0025,0.000055,0.000055,0.0001,0.000013,0,50,1,0.000013,CHF_HKD
CHF/JPY,111.48,0.04,0.000055,0.000055,0.01,0.00009,0,100,1,0.00009,CHF_JPY
EUR/AUD,1.5838,0.0004,0.000061,0.000061,0.0001,0.000071,0,100,1,0.000071,EUR_AUD
EUR/CAD,1.4932,0.0004,0.000061,0.000061,0.0001,0.000075,0,100,1,0.000075,EUR_CAD
EUR/CHF,1.1192,0.0004,0.000061,0.000061,0.0001,0.0001,0,100,1,0.0001,EUR_CHF
EUR/GBP,0.8596,0.0004,0.000061,0.000061,0.0001,0.00013,0,100,1,0.00013,EUR_GBP
EUR/HKD,8.7958,0.0025,0.000061,0.000061,0.0001,0.000013,0,50,1,0.000013,EUR_HKD
EUR/JPY,124.8,0.03,0.000061,0.000061,0.01,0.00009,0,100,1,0.00009,EUR_JPY
EUR/NZD,1.6578,0.0005,0.000061,0.000061,0.0001,0.000068,0,100,1,0.000068,EUR_NZD
EUR/SGD,1.5187,0.0006,0.000061,0.000061,0.0001,0.000074,0,50,1,0.000074,EUR_SGD
EUR/USD,1.1205,0.0003,0.000061,0.000061,0.0001,0.0001,0,100,1,0.0001,EUR_USD
GBP/AUD,1.8422,0.0006,0.000071,0.000071,0.0001,0.000071,0,100,1,0.000071,GBP_AUD
GBP/CAD,1.7366,0.0006,0.000071,0.000071,0.0001,0.000075,0,100,1,0.000075,GBP_CAD
GBP/CHF,1.3016,0.0005,0.000071,0.000071,0.0001,0.0001,0,100,1,0.0001,GBP_CHF
GBP/HKD,10.2307,0.0025,0.000071,0.000071,0.0001,0.000013,0,50,1,0.000013,GBP_HKD
GBP/JPY,145.15,0.04,0.000071,0.000071,0.01,0.00009,0,100,1,0.00009,GBP_JPY
GBP/NZD,1.928,0.0006,0.000071,0.000071,0.0001,0.000068,0,100,1,0.000068,GBP_NZD
GBP/SGD,1.7664,0.0007,0.000071,0.000071,0.0001,0.000074,0,50,1,0.000074,GBP_SGD
GBP/USD,1.3032,0.0004,0.000071,0.000071,0.0001,0.0001,0,100,1,0.0001,GBP_USD
HKD/JPY,14.1853,0.003,0.000007,0.000007,0.01,0.00009,0,50,1,0.00009,HKD_JPY
NZD/CAD,0.9008,0.0004,0.000037,0.000037,0.0001,0.000075,0,100,1,0.000075,NZD_CAD
NZD/CHF,0.6751,0.0005,0.000037,0.000037,0.0001,0.0001,0,100,1,0.0001,NZD_CHF
NZD/HKD,5.3069,0.0025,0.000037,0.000037,0.0001,0.000013,0,50,1,0.000013,NZD_HKD
NZD/JPY,75.29,0.04,0.000037,0.000037,0.01,0.00009,0,100,1,0.00009,NZD_JPY
NZD/SGD,0.9163,0.0006,0.000037,0.000037,0.0001,0.000074,0,50,1,0.000074,NZD_SGD
NZD/USD,0.6761,0.0004,0.000037,0.000037,0.0001,0.0001,0,100,1,0.0001,NZD_USD
SGD/CHF,0.7367,0.0005,0.00004,0.00004,0.0001,0.0001,0,50,1,0.0001,SGD_CHF
SGD/HKD,5.791,0.002,0.00004,0.00004,0.0001,0.000013,0,50,1,0.000013,SGD_HKD
SGD/JPY,82.147,0.04,0.00004,0.00004,0.01,0.00009,0,50,1,0.00009,SGD_JPY
USD/CAD,1.3325,0.0004,0.000055,0.000055,0.0001,0.000075,0,100,1,0.000075,USD_CAD
USD/CHF,0.9986,0.0003,0.000055,0.000055,0.0001,0.0001,0,100,1,0.0001,USD_CHF
USD/HKD,7.8496,0.001,0.000055,0.000055,0.0001,0.000013,0,50,1,0.000013,USD_HKD
USD/JPY,111.34,0.03,0.000055,0.000055,0.01,0.00009,0,100,1,0.00009,USD_JPY
USD/SGD,1.3555,0.0004,0.000055,0.000055,0.0001,0.000074,0,50,1,0.000074,USD_SGD
SPX500/USD,1.60297,0.5,0,0,0.1,0.1,151.0225,20,1,0,SPX500_USD