Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,
AU200_AUD,0.902505,5.2,0,0,0.1,0.0688365,229.8863754,20,1,0,AU200_AUD
CN50_USD,0.682045,17.5,0.00,0.00,0.1,0.100000000,1402.065000000,10,1,0,CN50_USD
EU50_EUR,5.38351,2.5,0,0,0.1,0.110759,196.8492017,20,1,0,EU50_EUR
FR40_EUR,73.9405,1.2,0,0,0.1,0.110759,314.0848343,20,1,0,FR40_EUR
DE30_EUR,1.069925,4.5,0,0,0.1,0.110759,690.5408304,20,1,0,DE30_EUR
HK33_HKD,0.947275,7,0,0,0.1,0.012780606,350.276796,10,1,0,HK33_HKD
IN50_USD,0.68671,19.5,0,0,0.1,0.1,1108.435,10,1,0,IN50_USD
JP225_USD,0.755725,10,0,0,0.1,0.1,1100.9325,20,1,0,JP225_USD
NL25_EUR,5.96512,0.27,0,0,0.001,0.00110759,63.76672528,10,1,0,NL25_EUR
SG30_SGD,81.929,0.5,0,0,0.01,0.007284037,26.90104271,10,1,0,SG30_SGD
TWIX_USD,1.049625,0.5,0,0,0.1,0.1,40.395,10,1,0,TWIX_USD
UK100_GBP,7.893165,4,0,0,0.1,0.124802,458.0108598,20,1,0,UK100_GBP
NAS100_USD,108.4105,2.7,0,0,0.1,0.1,397.195,20,1,0,NAS100_USD
US2000_USD,14.802165,0.5,0,0,0.001,0.001,158.5293,10,1,0,US2000_USD
SPX500_USD,1.60297,0.5,0,0,0.1,0.1,151.0225,20,1,0,SPX500_USD
US30_USD,1.4467,5.5,0,0,0.1,0.1,1364.7675,20,1,0,US30_USD
AUD_USD,0.7073,0.0003,0.000039,0.000039,0.0001,0.0001,0,100,1,0.0001,AUD_USD
EUR_USD,1.1205,0.0003,0.000061,0.000061,0.0001,0.0001,0,100,1,0.0001,EUR_USD
GBP_USD,1.3032,0.0004,0.000071,0.000071,0.0001,0.0001,0,100,1,0.0001,GBP_USD
USD_HKD,7.8496,0.001,0.000055,0.000055,0.0001,0.000013,0,50,1,0.000013,USD_HKD
USD_SGD,1.3555,0.0004,0.000055,0.000055,0.0001,0.000074,0,50,1,0.000074,USD_SGD
SPX500_USD,1.60297,0.5,0,0,0.1,0.1,151.0225,20,1,0,SPX500_USD